year,team,win_prob,is_winner
1930,Uruguay,0.454,1
1930,Argentina,0.305,0
1930,Brazil,0.177,0
1930,Romania,0.04,0
1930,Paraguay,0.008,0
1930,Bolivia,0.004,0
1930,Mexico,0.004,0
1930,Chile,0.003,0
1930,Belgium,0.002,0
1930,Peru,0.002,0
1930,France,0.001,0
1930,Serbia,0.0,0
1930,United States,0.0,0
1934,Austria,0.397,0
1934,Italy,0.265,1
1934,Brazil,0.109,0
1934,Czech Republic,0.101,0
1934,Argentina,0.049,0
1934,Spain,0.042,0
1934,Germany,0.016,0
1934,Hungary,0.012,0
1934,Netherlands,0.004,0
1934,Romania,0.002,0
1934,Switzerland,0.002,0
1934,France,0.001,0
1934,Belgium,0.0,0
1934,Egypt,0.0,0
1934,Sweden,0.0,0
1934,United States,0.0,0
1938,Hungary,0.403,0
1938,Italy,0.315,1
1938,Germany,0.182,0
1938,Brazil,0.035,0
1938,Czech Republic,0.023,0
1938,Sweden,0.02,0
1938,Cuba,0.005,0
1938,Netherlands,0.005,0
1938,Switzerland,0.004,0
1938,France,0.002,0
1938,Indonesia,0.002,0
1938,Romania,0.002,0
1938,Belgium,0.001,0
1938,Poland,0.001,0
1938,Norway,0.0,0
1950,Brazil,0.269,0
1950,Italy,0.262,0
1950,England,0.217,0
1950,Sweden,0.144,0
1950,Mexico,0.053,0
1950,Spain,0.029,0
1950,Uruguay,0.014,1
1950,Serbia,0.01,0
1950,Bolivia,0.001,0
1950,Chile,0.001,0
1950,Paraguay,0.0,0
1950,Switzerland,0.0,0
1950,United States,0.0,0
1954,Germany,0.209,1
1954,Brazil,0.189,0
1954,Italy,0.17,0
1954,Hungary,0.12,0
1954,England,0.062,0
1954,Austria,0.047,0
1954,Scotland,0.043,0
1954,France,0.04,0
1954,Uruguay,0.031,0
1954,Serbia,0.026,0
1954,Belgium,0.019,0
1954,Czech Republic,0.018,0
1954,South Korea,0.01,0
1954,Switzerland,0.008,0
1954,Mexico,0.007,0
1954,Turkey,0.001,0
1958,Hungary,0.376,0
1958,Argentina,0.289,0
1958,England,0.085,0
1958,Brazil,0.068,1
1958,Austria,0.047,0
1958,Russia,0.034,0
1958,Mexico,0.027,0
1958,Sweden,0.023,0
1958,Serbia,0.018,0
1958,France,0.012,0
1958,Germany,0.009,0
1958,Czech Republic,0.008,0
1958,Paraguay,0.002,0
1958,Scotland,0.002,0
1958,Northern Ireland,0.0,0
1958,Wales,0.0,0
1962,Russia,0.192,0
1962,Czech Republic,0.148,0
1962,Brazil,0.147,1
1962,Serbia,0.095,0
1962,Italy,0.084,0
1962,England,0.069,0
1962,Argentina,0.066,0
1962,Spain,0.066,0
1962,Uruguay,0.045,0
1962,Hungary,0.026,0
1962,Chile,0.021,0
1962,Germany,0.019,0
1962,Switzerland,0.011,0
1962,Mexico,0.007,0
1962,Bulgaria,0.003,0
1962,Colombia,0.001,0
1966,England,0.284,1
1966,Brazil,0.184,0
1966,Italy,0.181,0
1966,Germany,0.065,0
1966,Argentina,0.05,0
1966,Spain,0.049,0
1966,Mexico,0.034,0
1966,North Korea,0.032,0
1966,Uruguay,0.031,0
1966,Hungary,0.029,0
1966,France,0.026,0
1966,Bulgaria,0.012,0
1966,Switzerland,0.01,0
1966,Chile,0.006,0
1966,Russia,0.005,0
1966,Portugal,0.002,0
1970,England,0.445,0
1970,Russia,0.161,0
1970,Czech Republic,0.097,0
1970,Italy,0.083,0
1970,Germany,0.055,0
1970,Brazil,0.051,1
1970,Uruguay,0.048,0
1970,Mexico,0.018,0
1970,Morocco,0.012,0
1970,Bulgaria,0.009,0
1970,Sweden,0.006,0
1970,Belgium,0.005,0
1970,Romania,0.004,0
1970,El Salvador,0.002,0
1970,Israel,0.002,0
1970,Peru,0.002,0
1974,Germany,0.474,1
1974,Brazil,0.111,0
1974,Serbia,0.106,0
1974,Sweden,0.075,0
1974,Italy,0.066,0
1974,Argentina,0.058,0
1974,East Germany,0.037,0
1974,DR Congo,0.025,0
1974,Australia,0.018,0
1974,Uruguay,0.014,0
1974,Netherlands,0.007,0
1974,Bulgaria,0.004,0
1974,Poland,0.003,0
1974,Chile,0.002,0
1974,Haiti,0.0,0
1974,Scotland,0.0,0
1978,Argentina,0.192,1
1978,Netherlands,0.178,0
1978,Iran,0.151,0
1978,France,0.107,0
1978,Austria,0.081,0
1978,Scotland,0.076,0
1978,Spain,0.063,0
1978,Hungary,0.053,0
1978,Poland,0.035,0
1978,Mexico,0.028,0
1978,Italy,0.019,0
1978,Sweden,0.011,0
1978,Peru,0.003,0
1978,Tunisia,0.003,0
1978,Brazil,0.0,0
1978,Germany,0.0,0
1982,Argentina,0.375,0
1982,Germany,0.206,0
1982,Spain,0.133,0
1982,Brazil,0.091,0
1982,Poland,0.054,0
1982,Italy,0.031,1
1982,Austria,0.026,0
1982,Russia,0.014,0
1982,Belgium,0.012,0
1982,France,0.012,0
1982,Kuwait,0.009,0
1982,Serbia,0.009,0
1982,Peru,0.008,0
1982,Chile,0.006,0
1982,New Zealand,0.006,0
1982,El Salvador,0.003,0
1982,Northern Ireland,0.003,0
1982,Algeria,0.002,0
1982,Cameroon,0.0,0
1982,Czech Republic,0.0,0
1982,England,0.0,0
1982,Honduras,0.0,0
1982,Hungary,0.0,0
1982,Scotland,0.0,0
1986,England,0.221,0
1986,Germany,0.156,0
1986,Hungary,0.091,0
1986,France,0.078,0
1986,Uruguay,0.077,0
1986,Russia,0.07,0
1986,Mexico,0.054,0
1986,Spain,0.037,0
1986,Bulgaria,0.03,0
1986,Italy,0.027,0
1986,Belgium,0.026,0
1986,Brazil,0.024,0
1986,Argentina,0.022,1
1986,Northern Ireland,0.02,0
1986,Poland,0.017,0
1986,Paraguay,0.01,0
1986,Portugal,0.009,0
1986,Algeria,0.008,0
1986,Scotland,0.007,0
1986,Iraq,0.005,0
1986,South Korea,0.005,0
1986,Morocco,0.003,0
1986,Denmark,0.002,0
1986,Canada,0.001,0
1990,Italy,0.17,0
1990,Netherlands,0.147,0
1990,Sweden,0.12,0
1990,England,0.117,0
1990,Germany,0.116,1
1990,Russia,0.05,0
1990,Romania,0.036,0
1990,Uruguay,0.036,0
1990,Serbia,0.035,0
1990,Czech Republic,0.032,0
1990,Brazil,0.028,0
1990,Republic of Ireland,0.025,0
1990,Spain,0.023,0
1990,South Korea,0.019,0
1990,Argentina,0.014,0
1990,Belgium,0.014,0
1990,Austria,0.012,0
1990,Colombia,0.004,0
1990,Cameroon,0.001,0
1990,Scotland,0.001,0
1990,Costa Rica,0.0,0
1990,Egypt,0.0,0
1990,United Arab Emirates,0.0,0
1990,United States,0.0,0
1994,Italy,0.22,0
1994,Germany,0.125,0
1994,Colombia,0.124,0
1994,Netherlands,0.12,0
1994,Sweden,0.067,0
1994,Argentina,0.05,0
1994,Spain,0.039,0
1994,Switzerland,0.034,0
1994,Republic of Ireland,0.032,0
1994,Brazil,0.031,1
1994,Russia,0.031,0
1994,Romania,0.026,0
1994,Mexico,0.022,0
1994,Belgium,0.02,0
1994,Nigeria,0.019,0
1994,Morocco,0.015,0
1994,Norway,0.008,0
1994,Bulgaria,0.006,0
1994,Greece,0.003,0
1994,South Korea,0.003,0
1994,Saudi Arabia,0.002,0
1994,Bolivia,0.001,0
1994,Cameroon,0.001,0
1994,United States,0.001,0
1998,Brazil,0.446,0
1998,Spain,0.114,0
1998,France,0.098,1
1998,Germany,0.083,0
1998,England,0.074,0
1998,Italy,0.033,0
1998,Netherlands,0.031,0
1998,Denmark,0.022,0
1998,Norway,0.02,0
1998,Serbia,0.019,0
1998,Mexico,0.012,0
1998,Argentina,0.006,0
1998,Romania,0.006,0
1998,South Korea,0.006,0
1998,United States,0.006,0
1998,Chile,0.005,0
1998,Bulgaria,0.004,0
1998,Austria,0.003,0
1998,Morocco,0.003,0
1998,Japan,0.002,0
1998,Nigeria,0.002,0
1998,Paraguay,0.002,0
1998,Croatia,0.001,0
1998,Jamaica,0.001,0
1998,South Africa,0.001,0
1998,Belgium,0.0,0
1998,Cameroon,0.0,0
1998,Colombia,0.0,0
1998,Iran,0.0,0
1998,Saudi Arabia,0.0,0
1998,Scotland,0.0,0
1998,Tunisia,0.0,0
2002,France,0.389,0
2002,Italy,0.152,0
2002,Portugal,0.096,0
2002,Spain,0.061,0
2002,Argentina,0.046,0
2002,South Korea,0.034,0
2002,England,0.027,0
2002,Republic of Ireland,0.022,0
2002,Brazil,0.021,1
2002,Sweden,0.018,0
2002,Belgium,0.016,0
2002,Germany,0.014,0
2002,Japan,0.012,0
2002,Mexico,0.011,0
2002,Cameroon,0.009,0
2002,Croatia,0.009,0
2002,Denmark,0.009,0
2002,Saudi Arabia,0.008,0
2002,Nigeria,0.007,0
2002,United States,0.006,0
2002,Ecuador,0.005,0
2002,Poland,0.005,0
2002,China,0.004,0
2002,Slovenia,0.004,0
2002,Uruguay,0.004,0
2002,Costa Rica,0.003,0
2002,Paraguay,0.003,0
2002,Russia,0.003,0
2002,Senegal,0.001,0
2002,Turkey,0.001,0
2002,South Africa,0.0,0
2002,Tunisia,0.0,0
2006,Germany,0.152,0
2006,England,0.118,0
2006,Brazil,0.105,0
2006,France,0.098,0
2006,Czech Republic,0.088,0
2006,Netherlands,0.068,0
2006,Australia,0.054,0
2006,Spain,0.044,0
2006,Poland,0.039,0
2006,Mexico,0.033,0
2006,Sweden,0.028,0
2006,Italy,0.026,1
2006,Portugal,0.024,0
2006,Argentina,0.023,0
2006,Iran,0.02,0
2006,Paraguay,0.017,0
2006,Japan,0.013,0
2006,Serbia,0.012,0
2006,Ivory Coast,0.008,0
2006,Switzerland,0.007,0
2006,Tunisia,0.007,0
2006,Ukraine,0.005,0
2006,Costa Rica,0.003,0
2006,Ecuador,0.003,0
2006,South Korea,0.002,0
2006,United States,0.002,0
2006,Croatia,0.001,0
2006,Angola,0.0,0
2006,Ghana,0.0,0
2006,Saudi Arabia,0.0,0
2006,Togo,0.0,0
2006,Trinidad and Tobago,0.0,0
2010,Spain,0.299,1
2010,Brazil,0.159,0
2010,Mexico,0.104,0
2010,England,0.094,0
2010,Netherlands,0.079,0
2010,Germany,0.056,0
2010,Italy,0.038,0
2010,Serbia,0.03,0
2010,Portugal,0.029,0
2010,Chile,0.023,0
2010,France,0.019,0
2010,South Korea,0.019,0
2010,United States,0.011,0
2010,Uruguay,0.011,0
2010,Argentina,0.009,0
2010,Greece,0.004,0
2010,Denmark,0.003,0
2010,Nigeria,0.003,0
2010,Paraguay,0.003,0
2010,Ghana,0.002,0
2010,Japan,0.002,0
2010,Slovakia,0.002,0
2010,Cameroon,0.001,0
2010,Algeria,0.0,0
2010,Australia,0.0,0
2010,Honduras,0.0,0
2010,Ivory Coast,0.0,0
2010,New Zealand,0.0,0
2010,North Korea,0.0,0
2010,Slovenia,0.0,0
2010,South Africa,0.0,0
2010,Switzerland,0.0,0
2014,Brazil,0.351,0
2014,Spain,0.204,0
2014,Argentina,0.113,0
2014,Germany,0.064,1
2014,Chile,0.039,0
2014,England,0.029,0
2014,Uruguay,0.028,0
2014,United States,0.025,0
2014,Italy,0.021,0
2014,Netherlands,0.02,0
2014,France,0.019,0
2014,Colombia,0.012,0
2014,Mexico,0.012,0
2014,Russia,0.009,0
2014,Croatia,0.008,0
2014,Switzerland,0.008,0
2014,Belgium,0.006,0
2014,Portugal,0.006,0
2014,Cameroon,0.004,0
2014,Greece,0.004,0
2014,Bosnia and Herzegovina,0.003,0
2014,Nigeria,0.003,0
2014,Australia,0.002,0
2014,Ghana,0.002,0
2014,Iran,0.002,0
2014,Japan,0.002,0
2014,Costa Rica,0.001,0
2014,Ecuador,0.001,0
2014,Honduras,0.001,0
2014,Ivory Coast,0.001,0
2014,Algeria,0.0,0
2014,South Korea,0.0,0
2018,Spain,0.197,0
2018,Brazil,0.192,0
2018,Argentina,0.112,0
2018,Germany,0.098,0
2018,England,0.082,0
2018,Portugal,0.058,0
2018,France,0.056,1
2018,Colombia,0.051,0
2018,Peru,0.043,0
2018,Switzerland,0.022,0
2018,Belgium,0.021,0
2018,Denmark,0.011,0
2018,Poland,0.011,0
2018,Uruguay,0.011,0
2018,Mexico,0.009,0
2018,Russia,0.005,0
2018,Senegal,0.004,0
2018,Egypt,0.003,0
2018,Serbia,0.003,0
2018,Iran,0.002,0
2018,Morocco,0.002,0
2018,Sweden,0.002,0
2018,Costa Rica,0.001,0
2018,Croatia,0.001,0
2018,Iceland,0.001,0
2018,South Korea,0.001,0
2018,Tunisia,0.001,0
2018,Australia,0.0,0
2018,Japan,0.0,0
2018,Nigeria,0.0,0
2018,Panama,0.0,0
2018,Saudi Arabia,0.0,0
2022,Argentina,0.349,1
2022,Brazil,0.195,0
2022,Spain,0.149,0
2022,Portugal,0.083,0
2022,Denmark,0.049,0
2022,Netherlands,0.034,0
2022,Germany,0.029,0
2022,Belgium,0.023,0
2022,France,0.017,0
2022,England,0.012,0
2022,Uruguay,0.012,0
2022,Switzerland,0.009,0
2022,Croatia,0.008,0
2022,Serbia,0.008,0
2022,Ecuador,0.007,0
2022,Iran,0.005,0
2022,Canada,0.002,0
2022,Mexico,0.002,0
2022,Qatar,0.002,0
2022,Wales,0.002,0
2022,Poland,0.001,0
2022,South Korea,0.001,0
2022,United States,0.001,0
2022,Australia,0.0,0
2022,Cameroon,0.0,0
2022,Costa Rica,0.0,0
2022,Ghana,0.0,0
2022,Japan,0.0,0
2022,Morocco,0.0,0
2022,Saudi Arabia,0.0,0
2022,Senegal,0.0,0
2022,Tunisia,0.0,0
