feature,pointbiserial_r,pointbiserial_p,mannwhitney_u,mannwhitney_p,cohens_d,cohens_d_ci_low,cohens_d_ci_high,n_non_missing,pointbiserial_p_bonf,mannwhitney_p_bonf,pointbiserial_p_fdr,mannwhitney_p_fdr,abs_cohens_d
is_former_champion,0.3316286755926518,1.8872183499714683e-13,8116.5,8.196009804303084e-13,1.6926199007305502,1.533479601129607,1.887156458584878,467,1.1512031934825956e-11,4.999565980624881e-11,5.756015967412978e-12,4.999565980624881e-11,1.6926199007305502
elo_rating,0.3323497037033457,1.6618203702675073e-13,8585.0,1.010062357471131e-10,1.696756408096477,1.4037512359584798,2.0122043677976826,467,1.0137104258631795e-11,6.161380380573899e-09,5.756015967412978e-12,3.0806901902869492e-09,1.696756408096477
football_tradition,0.26370710297261096,7.198785302747021e-09,8280.5,2.0942690639841936e-09,1.3163796169823119,1.2032315417971498,1.4495889841764336,467,4.391259034675683e-07,1.277504129030358e-07,1.463753011558561e-07,4.2583470967678605e-08,1.3163796169823119
is_strong_sa,0.24812394818265704,5.547009464929009e-08,6461.5,8.567286745186836e-08,1.2333164917780501,0.5707062060794375,2.0330973403321284,467,3.3836757736066954e-06,5.2260449145639695e-06,8.459189434016738e-07,1.045208982912794e-06,1.2333164917780501
is_host,0.24436974451804436,8.89240694393469e-08,5853.0,1.3423833610751584e-07,1.2134611702195448,0.27090146968407497,2.2416515752752466,467,5.424368235800161e-06,8.188538502558466e-06,1.0848736471600323e-06,1.3647564170930777e-06,1.2134611702195448
football_power_index,0.2416342262997013,1.2481551505150012e-07,8125.5,1.2307162139549311e-08,1.1990301121418663,0.7455203327816651,1.793757934648191,467,7.613746418141507e-06,7.507368905125079e-07,1.268957736356918e-06,1.8768422262812698e-07,1.1990301121418663
years_since_last_final,-0.23181325871056566,4.078416536328159e-07,2385.0,1.3000707427759358e-06,-1.1474671766915128,-1.645797205360251,-0.6303484667855321,467,2.4878340871601773e-05,7.930431530933208e-05,3.55404869594311e-06,1.1329187901333154e-05,1.1474671766915128
years_since_last_win,-0.217497685180249,2.0903974058965756e-06,2794.0,3.7843640314412197e-06,-1.072965088983564,-1.6750341790525645,-0.47149332210902845,467,0.0001275142417596911,0.0002308462059179144,1.593928021996139e-05,2.5649578435323824e-05,1.072965088983564
wc_semifinals_before,0.1966847765440689,1.8614811917943876e-05,6959.0,3.06422640073448e-05,0.9659301118643513,0.44531914704248876,1.6449464519167878,467,0.0011355035269945764,0.0018691781044480327,0.00012616705855495293,0.00016992528222254842,0.9659301118643513
wc_finals_before,0.19148825261949406,3.105134460348878e-05,6913.5,2.5763976339282784e-06,0.939424595596557,0.38636746601156935,1.6437904137577373,467,0.0018941320208128156,0.00015716025566962498,0.00018941320208128157,1.9645031958703122e-05,0.939424595596557
is_south_america,0.15966840672348662,0.000533273663137689,6094.0,0.0005699073885070396,0.7788154761405102,0.2265846478040964,1.404968618691257,467,0.03252969345139903,0.034764350698929414,0.0029572448592180933,0.002483167907066387,0.7788154761405102
wc_titles_before,0.1577236463780487,0.0006245173135344546,6524.0,6.534708068215534e-06,0.7690859770528908,0.22437325370165173,1.456336800282593,467,0.038095556125601726,0.00039861719216114754,0.0031746296771334773,3.986171921611476e-05,0.7690859770528908
population_rank,-0.15173399573821011,0.0010044534858756023,2600.0,0.0005310478670767914,-0.739177281507512,-1.032845616621071,-0.4644951974577623,467,0.061271662638411745,0.032393919891684275,0.004464343083209014,0.002483167907066387,0.739177281507512
wc_participations_before,0.15147893202392865,0.0010246033305725607,6255.0,0.00892188522813695,0.7379055238642348,0.2101421663841908,1.3298426281132163,467,0.0625008031649262,0.544234998916354,0.004464343083209014,0.02591595232935019,0.7379055238642348
population_log,0.14722467253580648,0.0014206245201905247,6720.5,0.0007232498976478393,0.716715644479998,0.4577324307472987,0.9967705572563521,467,0.086658095731622,0.0441182437565182,0.005416130983226375,0.0027573902347823873,0.716715644479998
fifa_rank_inverse,0.14761845266124388,0.0013787860280809149,6366.5,0.0028185596674510467,0.7186752814089219,0.07986170309135915,1.5571858121553026,467,0.08410594771293581,0.17193213971451385,0.005416130983226375,0.009049059984974413,0.7186752814089219
gdp_total_rank,-0.13641859612620455,0.00313733514436877,2879.5,0.002703694032105865,-0.663071877986137,-0.9235369352545406,-0.3922830392955353,467,0.191377443806495,0.16492533595845776,0.011257496694499707,0.009049059984974413,0.663071877986137
fifa_rank,-0.12916589869318482,0.005181348630617167,2999.5,0.0028185596674510467,-0.6272044332327573,-0.9725206157003281,-0.33273928417229925,467,0.3160622664676472,0.17193213971451385,0.017559014803758176,0.009049059984974413,0.6272044332327573
trade_pct_gdp,-0.1277555568632727,0.005696477876719608,3017.5,0.005722385395602076,-0.6202418206690186,-0.9085998921066921,-0.3402924822031708,467,0.3474851504798961,0.3490655091317266,0.018288692130520846,0.017453275456586335,0.6202418206690186
is_strong_europe,0.11813936886489372,0.010614968291712776,5766.0,0.010800099913155765,0.5728679683023064,0.05307877846316483,1.1178314173750628,467,0.6475130657944793,0.6588060947025016,0.03237565328972397,0.029945731577386437,0.5728679683023064
inflation,0.11056793315687534,0.016833566398198295,4817.0,0.824638667648852,0.5356832602729952,-0.15314149707480104,1.852284976019195,467,1.0,1.0,0.04889750239476648,0.8989928306482616,0.5356832602729952
population_vs_avg,0.09500218704215242,0.0401544947139085,6859.5,0.0003046715669392722,0.45952610193260945,0.1167330773298408,0.9411843650139503,467,1.0,0.0185849655832956,0.1095528738469585,0.0015487471319413002,0.45952610193260945
health_spending_pct_gdp,0.09446209954747077,0.04130682128655812,5815.0,0.033730912573024754,0.45689010729050855,0.17620376979991806,0.79525907612716,467,1.0,1.0,0.1095528738469585,0.08573273612310459,0.45689010729050855
gdp_total_log,0.09022215523212526,0.051359060216416334,5777.5,0.06943035433228183,0.4362102409873735,0.06873400477151534,0.7814758797455634,467,1.0,1.0,0.1305376113833915,0.16289429285650736,0.4362102409873735
num_teams_in_tournament,-0.07552489885076447,0.10308846739363473,3778.0,0.10998672904705674,-0.36470368243184453,-0.8179117407654978,0.06982765243721044,467,1.0,1.0,0.24966704990009098,0.23175586902275577,0.36470368243184453
decade,-0.0748066766361753,0.10641546389184205,3753.0,0.12064778593078052,-0.361215833090399,-0.8263288575357696,0.08338945400761667,467,1.0,1.0,0.24966704990009098,0.24531716472592038,0.361215833090399
urbanization_pct,0.06854355569168895,0.1391379152058857,5600.5,0.1280452709592901,0.33082405383746877,-0.04451299163497333,0.6405892478857474,467,1.0,1.0,0.2966997168086673,0.25196004930699023,0.33082405383746877
is_africa,-0.06821382429039412,0.14105396372871068,4242.0,0.14132775241922094,-0.3292251541861806,-0.3789770348384343,-0.27420350960094403,467,1.0,1.0,0.2966997168086673,0.2612422090173478,0.3292251541861806
is_asia,-0.06821382429039412,0.14105396372871068,4242.0,0.14132775241922094,-0.3292251541861806,-0.38295876430690784,-0.27420350960094403,467,1.0,1.0,0.2966997168086673,0.2612422090173478,0.3292251541861806
gdp_total,0.05968895307874739,0.19789200642108631,5777.5,0.06943035433228183,0.287923311720039,-0.17069476703731176,0.8527657484429894,467,1.0,1.0,0.40238041305620886,0.16289429285650736,0.287923311720039
population,0.058729861399585984,0.2052069857837224,6720.5,0.0007232498976478393,0.2832807699366083,0.026087250811906885,0.9606498355071715,467,1.0,0.0441182437565182,0.4037943913808731,0.0027573902347823873,0.2832807699366083
tertiary_enrollment,0.05634800415712135,0.22421619074686877,5400.5,0.23165591135209196,0.27175462152141083,-0.11906716416777421,0.7000188870690129,467,1.0,1.0,0.4144602313805756,0.39252807201326695,0.27175462152141083
is_north_america,-0.056854144227278254,0.2200753144476468,4368.0,0.22043803633179115,-0.27420350960094403,-0.3292251541861806,-0.22124285053682827,467,1.0,1.0,0.4144602313805756,0.39252807201326695,0.27420350960094403
gdp_per_capita_rank,-0.05502189411616668,0.23532791478397516,4066.0,0.3050569479047496,-0.265339415053528,-0.5191581610940956,-0.0028356826870523572,467,1.0,1.0,0.4222059647594849,0.4896966795313085,0.265339415053528
electricity_access_pct,0.050063303433835124,0.2802959027451492,5146.0,0.26416894096348753,0.24136387517538654,0.13707708474680588,0.3110086322057009,467,1.0,1.0,0.48851571621297435,0.43552176753439836,0.24136387517538654
govt_spending_pct_gdp,0.046707158804078774,0.3138410846971986,5048.5,0.5412746178518286,0.22514666943905054,-0.10221388587241116,0.5768614460627597,467,1.0,1.0,0.5317862824035866,0.7861369449752749,0.22514666943905054
investment_pct_gdp,-0.0447289444945979,0.33479882060834587,3956.0,0.22787551588896982,-0.21559136730774986,-0.4624740850758466,0.03777550082978367,467,1.0,1.0,0.5519656231651108,0.39252807201326695,0.21559136730774986
air_transport_passengers,0.04372014323111026,0.3458246114412257,5641.5,0.1101790196993429,0.21071957396750715,-0.2106860215795156,0.6914574706800638,467,1.0,1.0,0.5551395078398623,0.23175586902275577,0.21071957396750715
edu_spending_pct_gdp,-0.04172660375728831,0.36828266705797386,4662.0,0.9727292887181631,-0.2010940794272391,-0.6476445602153618,0.22874328885549317,467,1.0,1.0,0.5760318638599078,0.9760399386224127,0.2010940794272391
fdi_pct_gdp,-0.033364299496879156,0.47197050705355476,4418.5,0.6597926350732788,-0.16074286653730505,-0.32906491110405134,-0.022213531240647073,467,1.0,1.0,0.7022000226894352,0.8989928306482616,0.16074286653730505
pop_density,-0.03383393390189891,0.4657528148876547,4462.5,0.7150269167710566,-0.16300805106178995,-0.46907714055681304,0.13496025732879544,467,1.0,1.0,0.7022000226894352,0.8989928306482616,0.16300805106178995
years_since_last_wc,-0.03193214376875271,0.49120993037387956,3767.0,0.09683513594127698,-0.1538358110857481,-0.5523369485877432,0.29653443934065776,467,1.0,1.0,0.7134239464953965,0.2187756774969591,0.1538358110857481
unemployment,0.030937435695656053,0.5048158429448396,5062.5,0.5035780663097724,0.14903905567027995,-0.18066229886465227,0.6115943852173727,467,1.0,1.0,0.7161341027822143,0.7492259035340517,0.14903905567027995
military_personnel,0.026741936772298573,0.564309369922357,5980.5,0.02110365276169475,0.1288119165375287,-0.09763897336571169,0.5148480856233216,467,1.0,1.0,0.7823379901196313,0.055970557324494775,0.1288119165375287
infant_mortality,0.02432882936940985,0.5999870849523582,4828.5,0.8098098517494347,0.11718111288342577,-0.31398261743945266,0.7288971603768782,467,1.0,1.0,0.8133158262687522,0.8989928306482616,0.11718111288342577
secondary_enrollment,0.023178824561159165,0.6173402955139792,5036.5,0.555952469833803,0.11163900157148439,-0.3078071145909184,0.5092656785611771,467,1.0,1.0,0.8186469136163638,0.7886767595316739,0.11163900157148439
internet_users_pct,0.01861835587569588,0.6881973582754649,4818.0,0.8155728178792842,0.0896653097130045,-0.29183844211202126,0.4842166908682804,467,1.0,1.0,0.8745841428084034,0.8989928306482616,0.0896653097130045
physicians_per_1000,0.019371180181071333,0.6762892844628983,4861.5,0.7676359627543616,0.09329221810457657,-0.37069510030199293,0.5642704085177201,467,1.0,1.0,0.8745841428084034,0.8989928306482616,0.09329221810457657
literacy_rate,0.015558123612279415,0.7373737884652055,5133.5,0.42996457893801343,0.07492342560380652,-0.4404451090566413,0.35134763933096214,467,1.0,1.0,0.8995960219275507,0.6725087003902261,0.07492342560380652
rd_spending_pct_gdp,0.01619726499048313,0.7270062007896534,4812.0,0.8166497342901351,0.07800213747973153,-0.2292267953449909,0.46357543387481753,467,1.0,1.0,0.8995960219275507,0.8989928306482616,0.07800213747973153
is_europe,-0.013444613341665594,0.7719883657440257,4532.0,0.7723760767199509,-0.06474338638071171,-0.5073333682226034,0.35853664433628296,467,1.0,1.0,0.9056017367381841,0.8989928306482616,0.06474338638071171
is_oceania,-0.01423084667060416,0.7590545577102428,4662.0,0.7642630218327532,-0.06853028845926995,-0.10872383292772769,-0.04840375361201395,467,1.0,1.0,0.9056017367381841,0.8989928306482616,0.06853028845926995
gdp_growth,-0.010713742330792196,0.8173831082156073,4267.0,0.49046667730312865,-0.05159100211109645,-0.4713599756026452,0.3650005165211087,467,1.0,1.0,0.923340177799112,0.7479616828872713,0.05159100211109645
under5_mortality,0.010890551426691314,0.8144236980198877,4827.5,0.8110761454846871,0.05244250958441796,-0.3238969885607415,0.585123121970522,467,1.0,1.0,0.923340177799112,0.8989928306482616,0.05244250958441796
population_growth,-0.008575488455956713,0.8533665913205267,4549.5,0.8253048937098796,-0.04129359329204362,-0.3359240876049731,0.31159849976487014,467,1.0,1.0,0.9464611285554932,0.8989928306482616,0.04129359329204362
life_expectancy,0.004723309260834014,0.9189165398085601,4579.5,0.8642716772916179,0.022743592564728906,-0.4232877164679462,0.4043940505378649,467,1.0,1.0,0.9664467056607271,0.9249223213120823,0.022743592564728906
gdp_per_capita,-0.005443381174058581,0.9066079975948356,4627.5,0.9272714302038964,-0.02621096564611385,-0.38966232419639674,0.3771085321918335,467,1.0,1.0,0.9664467056607271,0.9587043600413166,0.02621096564611385
gini_index,0.004935391000449162,0.9152891762454733,4664.5,0.9760399386224127,0.023764829028284085,-0.37376463581153874,0.5598312335059286,467,1.0,1.0,0.9664467056607271,0.9760399386224127,0.023764829028284085
military_spending_pct_gdp,-0.0019004182351105262,0.967329091347208,4927.5,0.685485762164079,-0.009150773655671827,-0.2677680964196073,0.3063435978094785,467,1.0,1.0,0.967329091347208,0.8989928306482616,0.009150773655671827
gdp_per_capita_vs_avg,0.0036723815347878765,0.9369145714361438,4928.5,0.6842992233355936,0.017683106542023392,-0.3126951800941009,0.37221508624014804,467,1.0,1.0,0.967329091347208,0.8989928306482616,0.017683106542023392
gdp_per_capita_log,-0.0027908227210624342,0.9520372213004734,4627.5,0.9272714302038964,-0.013438221071492912,-0.47857245653400926,0.42318349586416465,467,1.0,1.0,0.967329091347208,0.9587043600413166,0.013438221071492912
